stock_label,name,close,date,industry_type,open,high,low,unit,per,psr,pbr,volume,market_capitalization,issued_shares,crawl_datetime,code
6197  東証１部,ソラスト,982.0,株価(02/28),業種サービス業,998.0円,"1,017.0円",970.0円,100株,26.18倍,1.09倍,6.63倍,"375,400株","92,511百万円","94,206千株",2020-03-01T18:27:32,6197
6198  東証マザーズ,キャリア,297.0,株価(02/28),業種サービス業,309.0円,310.0円,289.0円,100株,15.95倍,0.22倍,1.89倍,"277,000株","2,561百万円","8,624千株",2020-03-01T18:27:34,6198
6199  東証１部,セラク,"1,007.0",株価(02/28),業種サービス業,"1,065.0円","1,082.0円",999.0円,100株,31.43倍,1.21倍,4.93倍,"588,500株","13,863百万円","13,767千株",2020-03-01T18:27:35,6199
6200  東証１部,インソース,"2,550.0",株価(02/28),業種サービス業,"2,590.0円","2,642.0円","2,507.0円",100株,64.18倍,9.69倍,17.63倍,"217,900株","54,342百万円","21,310千株",2020-03-01T18:27:37,6200
6232  東証マザーズ,自律制御システム研究所,"2,887.0",株価(02/28),業種機械,"3,005.0円","3,070.0円","2,870.0円",100株,---,37.77倍,6.48倍,"185,900株","30,485百万円","10,559千株",2020-03-01T18:27:39,6232
6233  東証JASDAQ（スタンダード）,極東産機,510.0,株価(02/28),業種機械,550.0円,550.0円,504.0円,100株,18.95倍,0.30倍,1.01倍,"44,800株","2,749百万円","5,391千株",2020-03-01T18:27:41,6233
6235  東証１部,オプトラン,"2,865.0",株価(02/28),業種機械,"2,930.0円","2,990.0円","2,851.0円",100株,13.22倍,2.96倍,3.64倍,"750,100株","127,085百万円","44,358千株",2020-03-01T18:27:43,6235
6237  東証１部,イワキポンプ,947.0,株価(02/28),業種機械,965.0円,977.0円,946.0円,100株,9.83倍,0.73倍,1.05倍,"41,300株","21,298百万円","22,490千株",2020-03-01T18:27:44,6237
6531  東証マザーズ,リファインバース,909.0,株価(02/28),業種サービス業,950.0円,"1,000.0円",896.0円,100株,---,1.09倍,4.59倍,"45,600株","2,772百万円","3,049千株",2020-03-01T18:27:46,6531
6532  東証１部,ベイカレント・コンサルティング,"6,440.0",株価(02/28),業種サービス業,"6,590.0円","6,700.0円","6,390.0円",100株,31.76倍,4.11倍,---,"226,100株","100,084百万円","15,541千株",2020-03-01T18:27:48,6532
6533  東証１部,ＯｒｃｈｅｓｔｒａＨｏｌｄｉｎｇｓ,800.0,株価(02/28),業種サービス業,828.0円,860.0円,795.0円,100株,25.29倍,0.78倍,5.43倍,"373,000株","7,325百万円","9,156千株",2020-03-01T18:27:49,6533
6535  東証１部,アイモバイル,534.0,株価(02/28),業種サービス業,556.0円,573.0円,530.0円,100株,9.31倍,0.54倍,0.88倍,"189,700株","11,616百万円","21,753千株",2020-03-01T18:27:51,6535
6537  東証マザーズ,ＷＡＳＨハウス,623.0,株価(02/28),業種サービス業,650.0円,660.0円,611.0円,100株,---,1.95倍,2.15倍,"50,800株","4,286百万円","6,881千株",2020-03-01T18:27:53,6537
6538  東証１部,キャリアインデックス,241.0,株価(02/28),業種サービス業,263.0円,278.0円,239.0円,100株,10.42倍,2.14倍,1.85倍,"490,600株","5,052百万円","20,966千株",2020-03-01T18:27:54,6538
